﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿"﻿﻿﻿﻿﻿﻿""﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Version""",
0
"Double byte support",
0,
"Double byte font",
"�l�r �o�S�V�b�N",
"Not enough coins, please purchase more!", "Không đủ xu, vui lòng mua thêm!"
"TANK LVL-1", "Xe tăng cấp độ 1"
"TANK LVL-2", "Xe tăng cấp 2"
"APC LVL-1", "Xe bọc thép cấp 1"
"APC LVL-2", "Xe bọc thép cấp 2"
"APC LVL-3", "Xe bọc thép cấp "
"HELICOPTER LVL-1", "Trực thăng cấp 1"
"HELICOPTER LVL-2", "Trực thăng cấp 2"
"HELICOPTER LVL-3", "Trực thăng cấp 3"
"PERSON", "NGƯỜI"
"Outfit", "Trang Phục"
"Primary", "Chính"
"Secondary", "Phụ"
"Items", "Vật Phẩm"
"Head", "Đầu"
"Camo", "Ngụy Trang"
"Flag", "Cờ"
"Emblem", "Biểu Tượng"
"OPEN", "Mở"
"PURCHASE", "Mua"
"CLIENT IS OLD, PLEASE CLEAR YOUR BROWSER CACHE...", "TẤT CẢ MÁY CHỦ GAME ĐÃ ĐẦY, VUI LÒNG LÀM MỚI..."
"ALL GAME SERVERS FULL, PLEASE REFRESH...", "TẤT CẢ MÁY CHỦ GAME ĐÃ ĐẦY, VUI LÒNG LÀM MỚI..."
"SELECT SERVER", "CHỌN MÁY CHỦ"
"Connect", "Kết Nối
"Refresh", "Làm Mới"
"Localhost", "Máy chủ cục bộ"
"CONNECTING...", "ĐANG KẾT NỐI..."
"PLAY GAME!", "CHƠI GAME!"
"QUIT GAME", "THOÁT TRÒ CHƠI"
"Mouse", "Chuột"
"Volume", "Âm lượng"
"Shadows", "Bóng"
"Mute Audio", "Tắt tiếng"
"Antialiasing", “làm mịn viền”
"Tone Mapping", "Ánh xạ tông màu"
"Ambient Occlusion", "Bóng mờ môi trường"
"Reflections", "Phản chiếu"
"PLAYER CUSTOMIZATION", "TÙY CHỈNH NGƯỜI CHƠI"
"MISSIONS", "NHIỆM VỤ"
"SKIP MISSION", "BỎ QUA NHIỆM VỤ"
"Reward", Phần Thưởng"
"SKIP MISSION?", BỎ QUA NHIỆM VỤ?"
"Yes", "CÓ"
"No", "KHÔNG"
"CRATES", "THÙNG" 
"POPULAR", "PHỔ BIẾN"
"BEST VALUE", "GIÁ TRỊ TỐT NHẤT"
"Redeem Crate Code...", "Đổi Mã THÙNG..."
"Log In", "Đăng Nhập"
"To earn crates, complete missions, keep track of your XP, and to purchase coins in War Brokers, please sign in using Google, Facebook, VK, Twitch, or a Steam account.", "Để kiếm thùng, hoàn thành nhiệm vụ, theo dõi XP và mua xu trong War Brokers, vui lòng đăng nhập bằng tài khoản Google, Facebook, VK, Twitch hoặc Steam."
"Use MOUSE1 to control speed ", "Sử dụng CHUỘT 1 để điều khiển tốc độ"
"N", "Bắc"
"S", "Nam"
"E", "Đông"
"W", "Tây"
"M - Menu", "M - Bảng Điều Khiển "
"Press F to Enter Vehicle", "Nhấn F để vào xe"
"MISSILE LOCKED!!!", "TÊN LỬA ĐÃ KHÓA!!!"
"Press F to Pickup Package", "Nhấn F để nhặt gói hàng"
"Switching Team to Balance Server", "Đang chuyển đội sang máy chủ Balance"
"Hold F to Launch Missile", "Giữ F để phóng tên lửa"
"Toggle Fullscreen", "Chuyển chế độ toàn màn hình"
"Press Y for team chat...", "Nhấn Y để trò chuyện nhóm..."
"Leaderboard", "Bảng xếp hạng"
"LVL", "Cấp độ"
"XP", "Kinh Nghiệm "
"Ping", "Độ trễ mạng "
"Our Team :", "Đội của chúng tôi:"
" : Enemy Team", ": Đội địch"
"Team Death Match Starts In", "Trận đấu tử thần đồng đội bắt đầu lúc"
"Death Match Starts In", "Trận đấu tử thần bắt đầu lúc"
"Capture Point Starts In", "Điểm chiếm đóng bắt đầu lúc"
"Capture Flags Starts In", "Cờ chiếm đóng bắt đầu lúc"
"Package Drop Starts In", "Thả gói hàng bắt đầu lúc"
"Missile Launch Starts In", "Phóng tên lửa bắt đầu lúc"
"Launch missiles!", "Phóng tên lửa!"
"Stop missile launch!", "Dừng phóng tên lửa!"
"AR Rifle", "Súng trường AR"
"AK Rifle", "Súng trường "
"Pistol", "Súng lục"
"Hunting Rifle", "Súng săn"
"RPG", "Súng chống tăng " 
"Shotgun", "Súng ngắn"
"Sniper Rifle", "Súng bắn tỉa"
"Sub Machine Gun", "Súng tiểu liên"
"Homing Missile", "Tên lửa tự dẫn"
"Package", "Gói Hàng"
"Grenade", "Lựu đạn"
"BGM", "Tên Lửa Dẫn  "
"Air Strike", "Không kích"
"Unknown", "Không rõ"
"Team Loss!!!", "Đội thua!!!"
"Team Wins!!!", "Đội thắng!!!"
"Tie Game!!!", "Hòa!!!"
"Final Results", "Kết quả cuối cùng"
"Kills", "Kills"
"Deaths", "Deaths"
"Damage", "Damage"
"Longest Kill", "Longest Kill"
"Points", "Points"
"Headshots", "Headshots"
"Kills -", "Hạ gục"
"Deaths -", "Số lần tử vong"
"Damage -", "Sát thương"
"Longest -", "Hạ gục xa nhất"
"Points -", "Điểm"
"Head Shots -", "Bắn vào đầu"
" kills", "Hạ gục "
"Sign in to keep track of mission progress", "Đăng nhập để theo dõi tiến độ nhiệm vụ"
"LEVEL", "CẤP ĐỘ"
"Earned", "Đã kiếm được"
" coins!", "XU"
"Team will switch in 5 seconds", "Đội sẽ đổi người sau 5 giây"
"Mission", "Nhiệm vụ"
" Complete", "Hoàn thành"
" XP", " Kinh Nghiệm "
" Coins", ""
"Earned a Crate!", "Đã kiếm được một thùng hàng!"
"Kill", "Giết"
"Cause", "Nguyên nhân"
" damage","thiệt hại"
"Deliver", "Giao hàng"
" packages", "gói hàng"
" package", "gói hàng"
"Launch", "PHÓNG"
" missiles", "tên lửa"
" missile", "tên lửa"
"Capture", "Chiếm giữ"
" points", "điểm"
" point", "điểm"
"Play", "CHƠI"
" matches", " trận"
" match", " trận"
"Travel", "Di chuyển"
" meters", " mét"
"Assist", "Hỗ trợ"
" players", " người chơi"
" player", " người chơi"
"Finish 1 match with", "Hoàn thành 1 trận với"
" kill", " mạng"
" as a", " dưới vai trò"
" with a", " với một"
" without dying", " mà không chết"
" within", " trong vòng"
" seconds", " giây"
" dying less than", " chết ít hơn"
" times", " lần"
" time", " lần"
" with health less than", " với máu ít hơn"
" in less than", " trong ít hơn"
" at a distance greater than", " ở khoảng cách lớn hơn"
" at a distance less than", " ở khoảng cách nhỏ hơn"
"Coins", "Xu"
"Crate", "Thùng"
"any weapon", "bất kỳ vũ khí nào"
"tanks", "xe tăng"
"tank", "xe tăng"
"APCs", "xe bọc thép chở quân"
"APC", "xe bọc thép chở quân"
"helicopters", "trực thăng"
"helicopter", "trực thăng"
"Tank Lvl-1", "Xe tăng cấp 1"
"Tank Lvl-2", "Xe tăng cấp 2"
"Tank Lvl-3", "Xe tăng cấp 3"
"APC Lvl-1", "Xe bọc thép cấp 1"
"APC Lvl-2", "Xe bọc thép cấp 2"
"APC Lvl-3", "Xe bọc thép cấp 3"
"Helicopter Lvl-1", "Trực thăng cấp 1"
"Helicopter Lvl-2", "Trực thăng cấp 2"
"Helicopter Lvl-3", "Trực thăng cấp 3"
"people", "người"
"person", "người"
"TANK LVL-3", "XE TĂNG CẤP 3"
"QUIT GAME?", "THOÁT TRÒ CHƠI?"
"DAILY REWARDS", "PHẦN THƯỞNG HÀNG NGÀY"
"Missiles Launched", "Tên lửa đã phóng"
" until next reward", " cho đến phần thưởng tiếp theo"
"killed by", "bị giết bởi"
"fragged by", "bị hạ gục bởi"
"blown up by", "bị nổ tung bởi"
"destroyed by", "bị phá hủy bởi"
"smashed by", "bị đè nát bởi"
"with", "bằng"
"self destructed", "tự hủy"
"Invert Heli Y", "Đảo trục Y trực thăng"
"Press C to Change View", "Nhấn C để đổi góc nhìn"
"LAUNCH MISSILES", "PHÓNG TÊN LỬA"
"FIND GREEN CIRCLES ON MAP", "TÌM VÒNG TRÒN MÀU XANH LÁ TRÊN BẢN ĐỒ"
"HOLD F TO RAISE", "GIỮ F ĐỂ NÂNG"
"YELLOW = BEING RAISED", "VÀNG = ĐANG ĐƯỢC NÂNG"
"RED = LAUNCHED", "ĐỎ = ĐÃ PHÓNG"
"GREEN = LAUNCHER", "XANH LÁ = BỆ PHÓNG"
